gene,mean_in,mean_out,mean_diff,p_fisher,dep_frac_in,dep_frac_out,t_stat,p_ttest,p_wilcoxon
NDUFS8,-0.6435211839933206,-0.5133116139342406,-0.13020957005907996,0.5947661254929949,0.6875,0.3271812080536913,-1.7426708669410484,0.3023561505199148,0.16708716957294853
EMC4,-0.6342404217250229,-0.5101002870210907,-0.12414013470393226,0.6303809731325598,0.6875,0.3296979865771812,-1.751723027381125,0.2991871807657433,0.15989298203731425
TBP,-0.8169736850191387,-0.6625699404850015,-0.1544037445341372,0.6394703356152988,0.9375,0.6065436241610739,-2.805158028038369,0.0589869419269734,0.0912604320806645
EXT1,-0.5199294068128362,-0.25905120090185685,-0.2608782059109793,0.6494405511887827,0.375,0.10234899328859061,-3.6020468212304384,0.010223248308421895,0.10183854642463179
POLR1E,-1.2764259192437448,-0.7852720295827342,-0.4911538896610106,0.6649963646119726,1.0,0.7088926174496645,-5.586465730323051,1.0138168814733995e-05,0.0001850112409328817
SREK1,-0.468132342534895,-0.31277817981308603,-0.15535416272180896,0.6913799546769814,0.375,0.1040268456375839,-2.7380443990039907,0.06733240643400921,0.09520828515350441
TIPRL,-0.6377828337197251,-0.44543961577356783,-0.19234321794615727,0.6916387222032986,0.625,0.28187919463087246,-2.603108953479584,0.0849696926726166,0.09307857243492322
KEAP1,-0.37910993769617873,-0.15866645276363134,-0.2204434849325474,0.6916387222032986,0.4375,0.14261744966442952,-1.7900402355441878,0.2845957116852247,0.20472637978864275
VPS45,-0.600137395103506,-0.419202170784403,-0.18093522431910303,0.6916387222032986,0.5625,0.23154362416107382,-2.5769578712818473,0.0885476031943523,0.07665361820438267
ANKRD49,-0.6731479489823375,-0.35581552786891585,-0.3173324211134217,0.6916387222032986,0.5625,0.23070469798657717,-3.868029327453371,0.005069057921293089,0.016868070229782275
DPY30,-0.4961439373603333,-0.3882019581927589,-0.10794197916757442,0.6916387222032986,0.5,0.18456375838926176,-1.6910490788379962,0.32290234147746927,0.18387042661384623
COX20,-0.6324645129375961,-0.45376788706411175,-0.17869662587348434,0.6916387222032986,0.5,0.18540268456375839,-3.9480156873468637,0.004008439933861446,0.011309499123575158
SRRM2,-0.6514613563764294,-0.45139248283218425,-0.20006887354424518,0.701788578320757,0.5625,0.23238255033557048,-3.2644362714662676,0.023602997626611867,0.009466926494435137
MCRS1,-0.7265606983204708,-0.621192009398647,-0.10536868892182372,0.7324299173537474,0.875,0.535234899328859,-2.022640481457599,0.2113968464816104,0.16151197154717398
MTERF3,-0.4053336658129508,-0.26380395714900334,-0.14152970866394748,0.7370412200638286,0.3125,0.07298657718120806,-2.5474608175743794,0.09242381083838169,0.16759226468678556
TXNRD1,-0.7541953489488945,-0.5840718435968946,-0.17012350535199994,0.7544559931930074,0.8125,0.46812080536912754,-1.4274088612437401,0.43019444106508314,0.2894549860587446
TRAIP,-1.0470657151963787,-0.8252724792156186,-0.22179323598076006,0.7544559931930074,1.0,0.7223154362416108,-2.500105456651343,0.10108303475700034,0.0583995813140956
PTK6,-0.22280031348974208,-0.13644232135408949,-0.0863579921356526,0.7544559931930074,0.125,0.00587248322147651,-2.076871324435276,0.19488475026242605,0.35743892858086923
B3GNT6,-0.22686757959955325,-0.1184510678531315,-0.10841651174642175,0.7544559931930074,0.125,0.00587248322147651,-2.81940993055973,0.05777509044067168,0.46254405910556096
DCLRE1B,-1.4187426561636691,-0.7789369819192874,-0.6398056742443817,0.7544559931930074,0.9375,0.62248322147651,-6.126674570088759,5.585286803332032e-07,0.0005311620830070532
DAP3,-0.7926255354805771,-0.7079101798007317,-0.08471535567984545,0.7544559931930074,0.9375,0.6216442953020134,-1.1878267225272139,0.5322414094697374,0.3617904386189606
EXOC3,-0.7368040129730098,-0.6233930244933117,-0.1134109884796981,0.7544559931930074,0.875,0.540268456375839,-2.1466325679966065,0.17860261119733933,0.09917531814743334
HDLBP,-0.06085369978520508,-0.04462459074976077,-0.016229109035444306,0.7544559931930074,0.125,0.00587248322147651,-0.33586181929900777,0.9055600921202771,0.999999999916582
PA2G4,-0.6351593894131944,-0.46215376593380747,-0.17300562347938692,0.7544559931930074,0.5625,0.23573825503355705,-3.1504119028329853,0.029530366959191645,0.01744839661703543
UQCC3,-0.46303269414441095,-0.29567321600095514,-0.1673594781434558,0.7544559931930074,0.25,0.04530201342281879,-3.777141241690712,0.006438283690091788,0.042390143850051534
NDUFAF1,-0.6333844747950503,-0.4570607340846949,-0.17632374071035545,0.7544559931930074,0.5625,0.23825503355704697,-2.6412395832137285,0.08001624922001414,0.04904102332598073
KHDRBS1,-0.2854450419445176,-0.12515013611705125,-0.16029490582746633,0.7544559931930074,0.1875,0.02181208053691275,-2.9728193140404384,0.04310456599973181,0.0859661675783097
RFT1,-0.9256166837928492,-0.7541105680684576,-0.17150611572439167,0.8061890514854817,1.0,0.7256711409395973,-2.3636603824853513,0.12592685705843962,0.19568840024292977
ATP5MGL,-0.31531871446858295,-0.19713057771726014,-0.11818813675132281,0.8272731294846094,0.125,0.006711409395973154,-3.1074403347193114,0.032339821520080726,0.1706890629871631
CCSAP,-0.23724913119884083,-0.058473735919012323,-0.1787753952798285,0.8272731294846094,0.125,0.006711409395973154,-4.072154376734995,0.0028159224288352093,0.0873688672553789
EXOC8,-0.5498803173840844,-0.4064504729806331,-0.1434298444034513,0.8272731294846094,0.5,0.19546979865771813,-2.374611779124903,0.12412950231476898,0.26339086313129745
NOL11,-0.6157337610833132,-0.49279445411731093,-0.1229393069660023,0.8272731294846094,0.625,0.2936241610738255,-2.158353910180211,0.17485035398369123,0.18524269695353104
SLC25A37,-0.2848899830522843,-0.05739221926064726,-0.22749776379163705,0.8272731294846094,0.1875,0.02348993288590604,-4.149321661547277,0.002314566227888258,0.06840840322357042
TAF13,-0.5435292144402741,-0.43331755477895334,-0.1102116596613208,0.8272731294846094,0.5,0.19630872483221476,-1.9430567794582865,0.2326654493344996,0.18659837627214634
TWNK,-0.6860218935931096,-0.48157201364699553,-0.20444987994611408,0.8272731294846094,0.6875,0.35151006711409394,-2.136228059934312,0.1812856959233093,0.10102404097260954
MANSC1,-0.24328838395150992,-0.029658913666727238,-0.21362947028478269,0.8272731294846094,0.125,0.006711409395973154,-4.008596295032664,0.0033924027088983993,0.029885199673536207
NCAPH2,-1.0992944939057303,-0.8529789834281669,-0.2463155104775634,0.8272731294846094,1.0,0.7298657718120806,-2.3538120722474773,0.12795514938368416,0.10092235865559314
GMPS,-1.279149381405511,-0.9959381124358531,-0.283211268969658,0.8272731294846094,1.0,0.7273489932885906,-2.045497690990097,0.20476009402178222,0.1615852165199048
VPS52,-0.6247770529464931,-0.3459227142610953,-0.27885433868539783,0.8272731294846094,0.5,0.19714765100671142,-3.6716660858625993,0.008454329186261378,0.017854859665341987
SMARCC2,-0.3129822817435217,-0.09946343908516359,-0.21351884265835813,0.8272731294846094,0.125,0.006711409395973154,-5.331940272242955,2.9656126251000833e-05,0.054817325507422014
LDB1,-0.5027130566773811,-0.2766606403205747,-0.2260524163568064,0.8272731294846094,0.375,0.11325503355704698,-2.6209132330386566,0.08235876442589028,0.03990139389505831
MRM2,-0.5985594534885954,-0.3953345135984805,-0.20322493989011492,0.8272731294846094,0.5,0.19714765100671142,-2.947038546503441,0.04529604405946186,0.042286618619646374
MRPS12,-0.8907746399927101,-0.6766337359722444,-0.2141409040204657,0.8432071747580597,0.875,0.5511744966442953,-2.5744417336970167,0.08902089315049032,0.06877133963867067
DYNLT1,-0.3756337337448745,-0.18828183712248545,-0.18735189662238907,0.8727014737004163,0.1875,0.024328859060402684,-4.004449141463568,0.00342857285276291,0.048932603293038966
FANCG,-0.32259516226077567,-0.08734921859224047,-0.23524594366853518,0.8727014737004163,0.1875,0.024328859060402684,-4.561393993441569,0.0006139794980985279,0.03695580449780307
NDUFAF6,-0.4611899918695302,-0.16198532092976609,-0.2992046709397641,0.882907806008081,0.25,0.04949664429530201,-4.9177321302963675,0.00017649422471621444,0.007974021308757127
