indication,gene,n_cell_lines,mean_score_indication,mean_score_other,delta_mean,dep_frac_indication,dep_frac_other,p_fisher,p_ttest,p_wilcoxon,consensus_type
Oral Cavity Squamous Cell Carcinoma,EGFR,53,-0.7372293523733282,-0.21438785457793239,-0.5228414977953958,0.5471698113207547,0.11861471861471862,2.738680714266614e-09,5.930481510559332e-21,1.7246662756735835e-12,3-test
Oral Cavity Squamous Cell Carcinoma,SNAI2,53,-0.4078742933826447,-0.09123947492770304,-0.3166348184549417,0.3584905660377358,0.04329004329004329,2.3489062768314836e-08,8.587373980067555e-14,5.464119837566408e-10,3-test
Oral Cavity Squamous Cell Carcinoma,EDF1,53,-0.4144734033979364,-0.0800789127348395,-0.3343944906630969,0.2641509433962264,0.01818181818181818,6.936584118561035e-08,1.973611479196906e-20,1.70533322945584e-09,3-test
Osteosarcoma,SUB1,25,-0.4387825777754341,-0.09683663531445841,-0.3419459424609757,0.32,0.01944209636517329,0.001067499259602341,3.5407628715737074e-11,0.00019824254134696138,3-test
Pancreatic Adenocarcinoma,KRAS,46,-2.1903890777268877,-0.6668874836500048,-1.5235015940768828,0.9347826086956522,0.3855421686746988,3.3556232185899777e-10,1.9339479875410517e-57,1.8981897922418245e-17,3-test
Pancreatic Adenocarcinoma,DOCK5,46,-0.49129112509719475,-0.07887891523259279,-0.412412209864602,0.3695652173913043,0.027538726333907058,7.914793845036433e-10,1.6459966555393084e-27,8.401456346919199e-10,3-test
Pancreatic Adenocarcinoma,RAB10,46,-0.9542635625600431,-0.47297598174906547,-0.4812875808109776,0.7391304347826086,0.29862306368330466,9.774778409917417e-06,2.2643931923886046e-11,8.166051119653396e-08,3-test
Pancreatic Adenocarcinoma,ID1,46,-0.25927415812995774,-0.02309684645662894,-0.2361773116733288,0.15217391304347827,0.006024096385542169,0.0007560910389570721,3.126747423890589e-15,8.555852286110834e-06,3-test
Plasma Cell Myeloma,IRF4,19,-2.097269547509156,-0.1539485846712932,-1.943320962837863,1.0,0.04878048780487805,1.7613294201274846e-20,3.9728859214107347e-103,2.0375630027949555e-09,3-test
Plasma Cell Myeloma,POU2AF1,19,-1.1623864030578337,-0.02872259049570806,-1.1336638125621257,0.7368421052631579,0.02691337258200168,7.349641652091176e-14,3.7206498944350296e-65,3.3467649628569572e-09,3-test
Plasma Cell Myeloma,NFKB1,19,-0.5835880506978235,0.03457502868178388,-0.6181630793796073,0.42105263157894735,0.00336417157275021,5.908453695701502e-10,5.994616195527663e-51,1.1561822012932199e-07,3-test
"Pleural Mesothelioma, Epithelioid Type",FGFR1,15,-0.9289100571742794,-0.174875569949139,-0.7540344872251404,0.6666666666666666,0.08549874266554904,0.0011502382687159393,1.016202267192786e-12,0.0018096101552672514,3-test
"Pleural Mesothelioma, Epithelioid Type",EXT2,15,-0.6393939602206618,-0.22078753350188451,-0.41860642671877724,0.6,0.07376362112321877,0.002881391745733336,1.1090591523174506e-07,0.003461747758132012,3-test
"Pleural Mesothelioma, Epithelioid Type",XYLT2,15,-0.7222325044321678,-0.33548794778634455,-0.38674455664582325,0.6666666666666666,0.11986588432523052,0.008189539162441892,1.3908254889919597e-06,0.019469885220655906,3-test
Rectal Adenocarcinoma,CTNNB1,12,-0.929627728113656,-0.24042238009526484,-0.6892053480183912,0.6666666666666666,0.09280936454849498,0.044954677728602406,4.995396391238081e-06,0.049009127467171724,3-test
Renal Clear Cell Carcinoma,PAX8,16,-1.3512824504373775,-0.17093966070662822,-1.1803427897307492,0.875,0.05536912751677853,1.94768612526284e-11,5.963177794851239e-42,8.374089444909345e-07,3-test
Renal Clear Cell Carcinoma,HNF1B,16,-1.7372172688786693,-0.26259780210617173,-1.4746194667724977,0.875,0.09312080536912752,7.333996395580264e-09,7.541558275326575e-36,8.374089444909345e-07,3-test
Renal Clear Cell Carcinoma,CDH2,16,-0.6983542252115339,-0.13598949078264608,-0.5623647344288878,0.6875,0.05620805369127517,8.155594466193807e-07,9.539336311114632e-13,4.727578488639352e-05,3-test
Renal Clear Cell Carcinoma,PARD3,16,-0.6532727954976454,-0.10726218367455968,-0.5460106118230857,0.5,0.040268456375838924,0.000558119768612182,1.80339028130424e-15,4.727578488639352e-05,3-test
Renal Clear Cell Carcinoma,UNC50,16,-1.0897076064521052,-0.49944847944180276,-0.5902591270103024,0.9375,0.30033557046979864,0.0006233945369063258,3.609922847069794e-10,0.0001830665773409934,3-test
Renal Clear Cell Carcinoma,PARD6B,16,-0.8403024422756354,-0.2094263849615183,-0.6308760573141171,0.625,0.09144295302013423,0.000740123236971561,1.1306212683241044e-12,6.713408541026478e-05,3-test
Serous Ovarian Cancer,PAX8,16,-0.930566250901544,-0.17658685801583404,-0.7539793928857099,0.6875,0.057885906040268456,3.269094783591422e-06,7.229960115212765e-15,0.0002580444221844467,3-test
Small Cell Lung Cancer,CCNE2,25,-0.4118579511641146,-0.06597789643150527,-0.34588005473260935,0.28,0.0084530853761623,6.870294174096885e-05,1.0527195224721885e-18,1.8129704765911313e-06,3-test
Small Cell Lung Cancer,E2F3,25,-0.9465782922809953,-0.3860681777797533,-0.5605101145012421,0.68,0.16737109044801352,0.00013392046302802116,2.9851866307756934e-14,1.8698708756081297e-05,3-test
Small Cell Lung Cancer,SOX4,25,-0.27588157622028325,-0.018153692060474357,-0.2577278841598089,0.2,0.0084530853761623,0.01717355306378089,1.7017548319265114e-09,0.0001856661676260058,3-test
Synovial Sarcoma,SS18,5,-0.6078203232504807,0.04219801752582183,-0.6500183407763026,0.6,0.004156275976724855,0.03377633785094459,4.39533505550023e-10,0.34391253991906334,2-test (N<10)
T-Cell Acute Lymphoblastic Leukemia,PSEN1,8,-0.47699183970298137,-0.057864429364201594,-0.41912741033877976,0.5,0.0016666666666666668,0.0002179060656679025,6.78851820274738e-14,0.07494476186848932,2-test (N<10)
