gene,pearson_r,p_value
RPS6KA1,0.11708375222022396,4.518669683196489e-05
MRPS35,0.11704766006873901,4.543342227079578e-05
OAZ3,0.11703161166705559,4.55435382636045e-05
QRSL1,0.1170238843280717,4.5596649461778535e-05
PRORP,0.1170076046183,4.5708734476284625e-05
MTG1,0.11699391197999646,4.580320963335118e-05
PTPMT1,0.11692797998572693,4.626071603259372e-05
FNTA,0.1168016151517227,4.714969291176549e-05
RGL1,0.11677541171157618,4.7336048216284334e-05
IGFL1,0.11677181771354576,4.736166256983303e-05
LCP1,0.11660717271078846,4.854925891444052e-05
GLB1L2,0.11660694126088297,4.855094805423185e-05
CARF,0.1166021296505009,4.8586076174294756e-05
AK2,0.1165886123939422,4.868489040968223e-05
TMEM269,0.11646555335250854,0.323061603188808
ZNF324,0.11634614958838072,5.048999505281163e-05
SHANK1,0.11631074361840875,5.075883027867943e-05
FGF18,0.1161728347092241,5.181893665770835e-05
TRIT1,0.11616543133337413,5.1876435044994735e-05
PAPOLA,0.116065311939949,5.2659967566245954e-05
F10,0.11596041748777067,5.3492876719986555e-05
RPS7,0.11595565588982568,5.3530980199839756e-05
CPQ,0.11587880201289835,5.414954795384909e-05
RNASEH2A,0.11587400941173424,5.4188344977864916e-05
COQ4,0.1158688658114319,5.423001267031052e-05
KRTAP19-3,0.11579152018595415,0.00017343067815378348
